normalization_mode mode3
title l64c64a076_m140_fit_pz5
gm T5
eta eta0
pz 5
bT 0
component real
nstates 2
normalization_sample_domain complex
input_fit_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz5/tables/l64c64a076_m140_fit_pz5_T5_eta0_bT0_real_2state_fit.txt
input_sample_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz5/samples/l64c64a076_m140_fit_pz5_T5_eta0_bT0_real_2state_samples.txt
reference_same_pz_bT0_bz0 l64c64a076_m140_fit_pz5 T5 eta0 pz=5 bT=0 bz=0
reference_pz0_same_bT_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
reference_pz0_bT0_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
bz	tmin	tmax	success_bootstrap_center	chi2_dof	pvalue	two_point_fit_tmax	m0_mean	m0_err
0	6	12	1	3.0764109026e+00	5.5104630003e-02	13	1.0000000000e+00	0.0000000000e+00
1	6	12	1	3.0560132558e+00	5.5563720867e-02	13	9.3668571047e-01	2.5280810234e-04
2	6	12	1	3.0226139323e+00	5.3596581646e-02	13	8.1799098869e-01	7.7578258526e-04
3	6	12	1	3.0441674927e+00	5.6795436647e-02	13	6.8931495024e-01	1.2680499809e-03
4	6	12	1	3.1261280167e+00	4.9049107446e-02	13	5.6299650491e-01	1.6321560353e-03
5	6	12	1	3.1419210298e+00	5.1978453688e-02	13	4.4561828453e-01	2.0066119895e-03
6	6	12	1	2.9547856236e+00	7.4222487676e-02	13	3.4145473688e-01	2.1903862043e-03
7	6	12	1	2.7792615506e+00	1.1820315385e-01	13	2.5310505505e-01	2.2417755486e-03
8	6	12	1	2.5855880089e+00	1.3119810081e-01	13	1.8143896101e-01	2.1939090836e-03
9	6	12	1	2.4180940219e+00	1.4632388024e-01	13	1.2549878610e-01	2.2092556935e-03
10	6	12	1	2.1789054118e+00	1.8906145924e-01	13	8.3040176308e-02	2.1893870640e-03
11	6	12	1	1.8664884430e+00	2.7653958862e-01	13	5.1728057455e-02	2.0485118852e-03
12	6	12	1	1.4552662141e+00	3.7845643294e-01	13	2.9477589950e-02	2.1013870419e-03
13	6	12	1	1.2122187486e+00	4.4413553803e-01	13	1.4270178356e-02	2.0670109074e-03
14	6	12	1	1.2218835568e+00	4.4389601833e-01	13	4.8071147041e-03	2.0508114202e-03
15	6	12	1	1.6929411314e+00	3.5393469310e-01	13	-6.1871999182e-04	1.9769014171e-03
16	6	12	1	2.3366415224e+00	2.0862767683e-01	13	-3.5702997871e-03	1.9141334061e-03
17	6	12	1	2.5058641653e+00	1.5532473124e-01	13	-4.9401136440e-03	1.7505055437e-03
18	6	12	1	2.2349534356e+00	1.9588022666e-01	13	-5.1722717832e-03	1.6811789009e-03
19	6	12	1	2.0025183793e+00	2.6403158149e-01	13	-4.6564667556e-03	1.7961938705e-03
20	6	12	1	1.6575885831e+00	3.0334638419e-01	13	-4.0691319091e-03	1.7918503498e-03
