sample_id	x	q_sample
0	-5.0000000000e-01	6.8128882971e-02
0	-4.9000000000e-01	7.0289599385e-02
0	-4.8000000000e-01	7.2559349255e-02
0	-4.7000000000e-01	7.4944841616e-02
0	-4.6000000000e-01	7.7453150085e-02
0	-4.5000000000e-01	8.0091719318e-02
0	-4.4000000000e-01	8.2868368197e-02
0	-4.3000000000e-01	8.5791289215e-02
0	-4.2000000000e-01	8.8869043565e-02
0	-4.1000000000e-01	9.2110551433e-02
0	-4.0000000000e-01	9.5525077038e-02
0	-3.9000000000e-01	9.9122207989e-02
0	-3.8000000000e-01	1.0291182859e-01
0	-3.7000000000e-01	1.0690408679e-01
0	-3.6000000000e-01	1.1110935442e-01
0	-3.5000000000e-01	1.1553818080e-01
0	-3.4000000000e-01	1.2020123925e-01
0	-3.3000000000e-01	1.2510926683e-01
0	-3.2000000000e-01	1.3027299729e-01
0	-3.1000000000e-01	1.3570308728e-01
0	-3.0000000000e-01	1.4141003647e-01
0	-2.9000000000e-01	1.4740410155e-01
0	-2.8000000000e-01	1.5369520504e-01
0	-2.7000000000e-01	1.6029283924e-01
0	-2.6000000000e-01	1.6720596625e-01
0	-2.5000000000e-01	1.7444291471e-01
0	-2.4000000000e-01	1.8201127437e-01
0	-2.3000000000e-01	1.8991778939e-01
0	-2.2000000000e-01	1.9816825144e-01
0	-2.1000000000e-01	2.0676739388e-01
0	-2.0000000000e-01	2.1571878807e-01
0	-1.9000000000e-01	2.2502474323e-01
0	-1.8000000000e-01	2.3468621099e-01
0	-1.7000000000e-01	2.4470269597e-01
0	-1.6000000000e-01	2.5507217370e-01
0	-1.5000000000e-01	2.6579101710e-01
0	-1.4000000000e-01	2.7685393269e-01
0	-1.3000000000e-01	2.8825390787e-01
0	-1.2000000000e-01	2.9998217004e-01
0	-1.1000000000e-01	3.1202815888e-01
0	-1.0000000000e-01	3.2437951244e-01
0	-9.0000000000e-02	3.3702206782e-01
0	-8.0000000000e-02	3.4993987718e-01
0	-7.0000000000e-02	3.6311523936e-01
0	-6.0000000000e-02	3.7652874750e-01
0	-5.0000000000e-02	3.9015935276e-01
0	-4.0000000000e-02	4.0398444411e-01
0	-3.0000000000e-02	4.1797994378e-01
0	-2.0000000000e-02	4.3212041819e-01
0	-1.0000000000e-02	4.4637920343e-01
0	0.0000000000e+00	4.6072854475e-01
0	1.0000000000e-02	4.7513974877e-01
0	2.0000000000e-02	4.8958334753e-01
0	3.0000000000e-02	5.0402927272e-01
0	4.0000000000e-02	5.1844703883e-01
0	5.0000000000e-02	5.3280593344e-01
0	6.0000000000e-02	5.4707521289e-01
0	7.0000000000e-02	5.6122430153e-01
0	8.0000000000e-02	5.7522299246e-01
0	9.0000000000e-02	5.8904164783e-01
0	1.0000000000e-01	6.0265139662e-01
0	1.1000000000e-01	6.1602432781e-01
0	1.2000000000e-01	6.2913367679e-01
0	1.3000000000e-01	6.4195400316e-01
0	1.4000000000e-01	6.5446135770e-01
0	1.5000000000e-01	6.6663343688e-01
0	1.6000000000e-01	6.7844972286e-01
0	1.7000000000e-01	6.8989160762e-01
0	1.8000000000e-01	7.0094249944e-01
0	1.9000000000e-01	7.1158791074e-01
0	2.0000000000e-01	7.2181552579e-01
0	2.1000000000e-01	7.3161524781e-01
0	2.2000000000e-01	7.4097922439e-01
0	2.3000000000e-01	7.4990185110e-01
0	2.4000000000e-01	7.5837975293e-01
0	2.5000000000e-01	7.6641174370e-01
0	2.6000000000e-01	7.7399876374e-01
0	2.7000000000e-01	7.8114379642e-01
0	2.8000000000e-01	7.8785176436e-01
0	2.9000000000e-01	7.9412940642e-01
0	3.0000000000e-01	7.9998513668e-01
0	3.1000000000e-01	8.0542888712e-01
0	3.2000000000e-01	8.1047193548e-01
0	3.3000000000e-01	8.1512672044e-01
0	3.4000000000e-01	8.1940664608e-01
0	3.5000000000e-01	8.2332587781e-01
0	3.6000000000e-01	8.2689913220e-01
0	3.7000000000e-01	8.3014146303e-01
0	3.8000000000e-01	8.3306804605e-01
0	3.9000000000e-01	8.3569396497e-01
0	4.0000000000e-01	8.3803400114e-01
0	4.1000000000e-01	8.4010242942e-01
0	4.2000000000e-01	8.4191282253e-01
0	4.3000000000e-01	8.4347786637e-01
0	4.4000000000e-01	8.4480918825e-01
0	4.5000000000e-01	8.4591720021e-01
0	4.6000000000e-01	8.4681095933e-01
0	4.7000000000e-01	8.4749804648e-01
0	4.8000000000e-01	8.4798446517e-01
0	4.9000000000e-01	8.4827456159e-01
0	5.0000000000e-01	8.4837096676e-01
0	5.1000000000e-01	8.4827456159e-01
0	5.2000000000e-01	8.4798446517e-01
0	5.3000000000e-01	8.4749804648e-01
0	5.4000000000e-01	8.4681095933e-01
0	5.5000000000e-01	8.4591720021e-01
0	5.6000000000e-01	8.4480918825e-01
0	5.7000000000e-01	8.4347786637e-01
0	5.8000000000e-01	8.4191282253e-01
0	5.9000000000e-01	8.4010242942e-01
0	6.0000000000e-01	8.3803400114e-01
0	6.1000000000e-01	8.3569396497e-01
0	6.2000000000e-01	8.3306804605e-01
0	6.3000000000e-01	8.3014146303e-01
0	6.4000000000e-01	8.2689913220e-01
0	6.5000000000e-01	8.2332587781e-01
0	6.6000000000e-01	8.1940664608e-01
0	6.7000000000e-01	8.1512672044e-01
0	6.8000000000e-01	8.1047193548e-01
0	6.9000000000e-01	8.0542888712e-01
0	7.0000000000e-01	7.9998513668e-01
0	7.1000000000e-01	7.9412940642e-01
0	7.2000000000e-01	7.8785176436e-01
0	7.3000000000e-01	7.8114379642e-01
0	7.4000000000e-01	7.7399876374e-01
0	7.5000000000e-01	7.6641174370e-01
0	7.6000000000e-01	7.5837975293e-01
0	7.7000000000e-01	7.4990185110e-01
0	7.8000000000e-01	7.4097922439e-01
0	7.9000000000e-01	7.3161524781e-01
0	8.0000000000e-01	7.2181552579e-01
0	8.1000000000e-01	7.1158791074e-01
0	8.2000000000e-01	7.0094249944e-01
0	8.3000000000e-01	6.8989160762e-01
0	8.4000000000e-01	6.7844972286e-01
0	8.5000000000e-01	6.6663343688e-01
0	8.6000000000e-01	6.5446135770e-01
0	8.7000000000e-01	6.4195400316e-01
0	8.8000000000e-01	6.2913367679e-01
0	8.9000000000e-01	6.1602432781e-01
0	9.0000000000e-01	6.0265139662e-01
0	9.1000000000e-01	5.8904164783e-01
0	9.2000000000e-01	5.7522299246e-01
0	9.3000000000e-01	5.6122430153e-01
0	9.4000000000e-01	5.4707521289e-01
0	9.5000000000e-01	5.3280593344e-01
0	9.6000000000e-01	5.1844703883e-01
0	9.7000000000e-01	5.0402927272e-01
0	9.8000000000e-01	4.8958334753e-01
0	9.9000000000e-01	4.7513974877e-01
0	1.0000000000e+00	4.6072854475e-01
0	1.0100000000e+00	4.4637920343e-01
0	1.0200000000e+00	4.3212041819e-01
0	1.0300000000e+00	4.1797994378e-01
0	1.0400000000e+00	4.0398444411e-01
0	1.0500000000e+00	3.9015935276e-01
0	1.0600000000e+00	3.7652874750e-01
0	1.0700000000e+00	3.6311523936e-01
0	1.0800000000e+00	3.4993987718e-01
0	1.0900000000e+00	3.3702206782e-01
0	1.1000000000e+00	3.2437951244e-01
0	1.1100000000e+00	3.1202815888e-01
0	1.1200000000e+00	2.9998217004e-01
0	1.1300000000e+00	2.8825390787e-01
0	1.1400000000e+00	2.7685393269e-01
0	1.1500000000e+00	2.6579101710e-01
0	1.1600000000e+00	2.5507217370e-01
0	1.1700000000e+00	2.4470269597e-01
0	1.1800000000e+00	2.3468621099e-01
0	1.1900000000e+00	2.2502474323e-01
0	1.2000000000e+00	2.1571878807e-01
0	1.2100000000e+00	2.0676739388e-01
0	1.2200000000e+00	1.9816825144e-01
0	1.2300000000e+00	1.8991778939e-01
0	1.2400000000e+00	1.8201127437e-01
0	1.2500000000e+00	1.7444291471e-01
0	1.2600000000e+00	1.6720596625e-01
0	1.2700000000e+00	1.6029283924e-01
0	1.2800000000e+00	1.5369520504e-01
0	1.2900000000e+00	1.4740410155e-01
0	1.3000000000e+00	1.4141003647e-01
0	1.3100000000e+00	1.3570308728e-01
0	1.3200000000e+00	1.3027299729e-01
0	1.3300000000e+00	1.2510926683e-01
0	1.3400000000e+00	1.2020123925e-01
0	1.3500000000e+00	1.1553818080e-01
0	1.3600000000e+00	1.1110935442e-01
0	1.3700000000e+00	1.0690408679e-01
0	1.3800000000e+00	1.0291182859e-01
0	1.3900000000e+00	9.9122207989e-02
0	1.4000000000e+00	9.5525077038e-02
0	1.4100000000e+00	9.2110551433e-02
0	1.4200000000e+00	8.8869043565e-02
0	1.4300000000e+00	8.5791289215e-02
0	1.4400000000e+00	8.2868368197e-02
0	1.4500000000e+00	8.0091719318e-02
0	1.4600000000e+00	7.7453150085e-02
0	1.4700000000e+00	7.4944841616e-02
0	1.4800000000e+00	7.2559349255e-02
0	1.4900000000e+00	7.0289599385e-02
0	1.5000000000e+00	6.8128882971e-02
1	-5.0000000000e-01	6.6996899243e-02
1	-4.9000000000e-01	6.9242985146e-02
1	-4.8000000000e-01	7.1616539365e-02
1	-4.7000000000e-01	7.4123394920e-02
1	-4.6000000000e-01	7.6769401938e-02
1	-4.5000000000e-01	7.9560445013e-02
1	-4.4000000000e-01	8.2502463319e-02
1	-4.3000000000e-01	8.5601472763e-02
1	-4.2000000000e-01	8.8863589403e-02
1	-4.1000000000e-01	9.2295053271e-02
