pz 7
bT 0
component real
nstates 2
normalization_mode mode3
lattice_spacing_fm 7.6000000000e-02
zstep_fm 1.0000000000e-02
interpolation_kind cubic
x	q_mean	q_err	q_p16	q_p84
-5.0000000000e-01	6.8406917815e-02	1.4405618283e-03	6.6966355987e-02	6.9847479643e-02
-4.9000000000e-01	7.0602395194e-02	1.4721137346e-03	6.9130281459e-02	7.2074508929e-02
-4.8000000000e-01	7.2844724461e-02	1.4331299826e-03	7.1411594479e-02	7.4277854444e-02
-4.7000000000e-01	7.5246200352e-02	1.4603719678e-03	7.3785828384e-02	7.6706572320e-02
-4.6000000000e-01	7.7821309575e-02	1.4659588851e-03	7.6355350690e-02	7.9287268460e-02
-4.5000000000e-01	8.0445449146e-02	1.4701774769e-03	7.8975271669e-02	8.1915626623e-02
-4.4000000000e-01	8.3218184405e-02	1.5054899434e-03	8.1712694462e-02	8.4723674349e-02
-4.3000000000e-01	8.6124037998e-02	1.5734840187e-03	8.4550553980e-02	8.7697522017e-02
-4.2000000000e-01	8.9147303363e-02	1.5338725989e-03	8.7613430764e-02	9.0681175962e-02
-4.1000000000e-01	9.2280916065e-02	1.4861233834e-03	9.0794792681e-02	9.3767039448e-02
-4.0000000000e-01	9.5619976165e-02	1.5593358211e-03	9.4060640344e-02	9.7179311986e-02
-3.9000000000e-01	9.9211385607e-02	1.6638475809e-03	9.7547538026e-02	1.0087523319e-01
-3.8000000000e-01	1.0294752340e-01	1.7420493933e-03	1.0120547400e-01	1.0468957279e-01
-3.7000000000e-01	1.0691390291e-01	1.8547515863e-03	1.0505915133e-01	1.0876865450e-01
-3.6000000000e-01	1.1104340655e-01	1.8708428420e-03	1.0917256370e-01	1.1291424939e-01
-3.5000000000e-01	1.1535083211e-01	1.9349029482e-03	1.1341592916e-01	1.1728573506e-01
-3.4000000000e-01	1.2002638770e-01	2.0476170899e-03	1.1797877061e-01	1.2207400479e-01
-3.3000000000e-01	1.2493671509e-01	2.1032156572e-03	1.2283349943e-01	1.2703993074e-01
-3.2000000000e-01	1.3007816357e-01	2.1788804351e-03	1.2789928314e-01	1.3225704401e-01
-3.1000000000e-01	1.3552503899e-01	2.2740587619e-03	1.3325098023e-01	1.3779909775e-01
-3.0000000000e-01	1.4119957439e-01	2.3296855415e-03	1.3886988885e-01	1.4352925993e-01
-2.9000000000e-01	1.4714219624e-01	2.4103627544e-03	1.4473183348e-01	1.4955255899e-01
-2.8000000000e-01	1.5334039021e-01	2.4540467125e-03	1.5088634350e-01	1.5579443693e-01
-2.7000000000e-01	1.5986003904e-01	2.5103395649e-03	1.5734969947e-01	1.6237037860e-01
-2.6000000000e-01	1.6671593111e-01	2.6198998828e-03	1.6409603123e-01	1.6933583099e-01
-2.5000000000e-01	1.7405700217e-01	2.6022182286e-03	1.7145478394e-01	1.7665922040e-01
-2.4000000000e-01	1.8163873832e-01	2.6148752200e-03	1.7902386310e-01	1.8425361354e-01
-2.3000000000e-01	1.8960096989e-01	2.6832138917e-03	1.8691775600e-01	1.9228418378e-01
-2.2000000000e-01	1.9784696719e-01	2.8113894902e-03	1.9503557770e-01	2.0065835668e-01
-2.1000000000e-01	2.0638949090e-01	2.7634600337e-03	2.0362603087e-01	2.0915295094e-01
-2.0000000000e-01	2.1539806914e-01	2.9042283740e-03	2.1249384077e-01	2.1830229752e-01
-1.9000000000e-01	2.2471061680e-01	2.9863727894e-03	2.2172424401e-01	2.2769698959e-01
-1.8000000000e-01	2.3438845731e-01	3.1447458080e-03	2.3124371150e-01	2.3753320311e-01
-1.7000000000e-01	2.4444934024e-01	3.2348739595e-03	2.4121446628e-01	2.4768421420e-01
-1.6000000000e-01	2.5478948930e-01	3.1877326736e-03	2.5160175663e-01	2.5797722197e-01
